,Unnamed: 0,Diameter (km),Long,Lat,tag
0,0,7.48018711569,103.64880819,-58.9153064285,standard
1,1,6.78710963952,109.085532454,-58.9613966378,standard
2,2,7.14331290827,113.439136801,-59.791020404,standard
3,3,13.7780369535,119.801506101,-58.9498740855,standard
4,4,7.74424366835,120.419883075,-58.8039217562,standard
5,5,7.02284406216,118.580115556,-59.7276463663,standard
6,6,14.425596959,122.806971828,-58.7232638901,standard
7,7,5.51249057552,128.650826274,-58.6752532554,standard
8,8,7.37537697712,127.629159969,-58.8404098385,standard
9,9,5.04770861743,128.804460304,-58.9882825932,standard
10,10,5.1828849129,134.636792198,-59.5605693578,standard
11,11,8.17903865267,134.371773495,-58.9633170632,standard
12,12,5.79924252074,137.546236656,-58.7194230393,standard
13,13,9.18751557514,138.153091077,-59.7122829632,standard
14,14,13.2560970287,143.789539582,-59.5759327609,standard
15,15,8.68990544603,142.934950285,-59.466468514,standard
16,16,6.64383772245,144.567311862,-59.7065216871,standard
17,17,5.18066656756,147.313520163,-58.5293009262,standard
18,18,12.2319314774,147.446029514,-59.6777153063,standard
19,19,9.12558977364,152.786732509,-59.257142147,standard
20,20,6.5153959049,149.704449767,-58.807762607,standard
21,21,9.91525983573,158.93209374,-58.8212055847,standard
22,22,12.7200305263,159.65225326,-58.9229881301,standard
23,23,5.17068568376,162.386939008,-59.4242191555,standard
24,24,17.7841384887,164.676086066,-58.7808766516,standard
25,25,9.69816725814,165.837943424,-58.682934957,standard
26,26,5.80088164265,165.536436639,-59.9638586886,standard
27,27,5.15495087783,171.474391928,-58.3391788131,standard
28,28,10.6485966468,173.137480311,-58.2873273277,standard
29,29,5.4093034654,172.469172278,-59.9542565617,standard
30,30,7.93480708408,170.435441795,-58.7040596362,standard
31,31,9.27935002665,90.0656744435,57.842653469,standard
32,32,5.48748032393,90.5871978354,59.9121982021,standard
33,33,11.4135076656,92.1875752547,57.9748992208,standard
34,34,11.048897881,93.0357556985,57.7359199733,standard
35,35,5.77419345163,94.2952938633,59.7985851172,standard
36,36,8.75588078307,94.4911784924,58.9641165975,standard
37,37,5.99268258526,95.1611039237,58.9112277476,standard
38,38,15.4094594533,96.5577613289,58.5821415708,standard
39,39,5.42563313398,94.5734500366,57.2050726286,standard
40,40,6.26204686361,96.8594236576,57.706537279,standard
41,41,7.99180817034,97.1140736754,57.4695168778,?
42,42,8.03875663555,92.4108837318,55.4734525078,standard
43,43,5.29173568012,93.3374180273,56.2060610204,?
44,44,8.70895580261,90.2685628722,49.7960498266,standard
45,45,14.3460299802,90.9621124643,51.0921038905,standard
46,46,5.70183620389,90.0891504294,52.9478176639,standard
47,47,6.52883142565,90.2792740628,53.4539214203,standard
48,48,6.02909899225,90.9701458572,53.8288130917,?
49,49,7.38931839377,93.2114624926,53.3280649306,standard
50,50,8.18894175326,93.2810852316,52.5327590278,standard
51,51,5.16656343526,92.9436827274,52.3640577756,standard
52,52,15.4427275315,93.2676962434,51.2393827614,standard
53,53,15.5845220615,93.6747214866,51.0171255563,standard
54,54,10.6969307112,93.979990419,50.5136995975,standard
55,55,8.79633727799,94.119235897,51.520551515,standard
56,56,7.31834432269,94.5128721519,52.8674837344,standard
57,57,9.7733002144,96.2668296145,53.526221957,standard
58,58,16.8702863794,95.8892601455,51.3786282394,standard
59,59,5.54585342367,97.3754378428,49.970106674,standard
60,60,16.8027851006,98.7652148246,48.7784867185,standard
61,61,15.1935875789,96.4703422361,47.710045455,standard
62,62,10.666843275,97.6860623705,48.9311211847,?
63,63,5.0084973495,98.3046336283,48.0099587921,standard
64,64,6.89826053655,95.7767926441,48.4169840354,standard
65,65,10.8143230087,93.4444308884,47.3699651531,standard
66,66,13.4684811331,90.4238751361,46.8236944319,standard
67,67,5.46515313404,90.3917415642,47.9965698039,standard
68,68,8.1530902861,90.2524002817,43.3129843856,standard
69,69,11.060934017,92.0106364249,45.166847711,?
70,70,11.329868269,93.9079666512,45.3646221103,standard
71,71,7.45676043918,93.8905798908,46.0796526309,standard
72,72,9.92861433112,93.7362723925,46.3295873113,standard
73,73,5.68626717383,94.1622480218,44.5930846185,standard
74,74,10.4024790142,93.5580580986,46.820763292,?
75,75,8.03527795545,96.0921784237,43.9128276187,standard
76,76,5.63470295838,95.8857106443,45.5710898898,standard
77,77,17.6643511457,95.551015507,43.3434112163,standard
78,78,5.10548217531,94.449129568,43.2195305486,standard
79,79,12.4017754357,97.0549702797,45.8471047108,standard
80,80,6.04173929401,97.5157194297,45.9209984424,standard
81,81,5.17972736631,96.4399136313,44.2105758902,standard
82,82,7.21583205122,97.9090948833,42.3827927054,standard
83,83,18.2010322794,96.7963422191,40.7679973353,standard
84,84,19.2732146596,95.2967341364,40.022539984,standard
85,85,8.77800558764,94.7773046701,39.8008587892,standard
86,86,6.14224635598,93.39071053,41.1157325428,standard
87,87,9.39106573503,92.5496259967,40.8201576164,standard
88,88,5.71409435634,92.1649439233,40.3094215303,?
89,89,6.37965934076,91.6976747381,42.0611376384,?
90,90,5.3631129204,92.8321608528,42.1567648205,standard
91,91,7.76740385176,91.4542600928,39.3248962239,standard
92,92,14.9612612684,93.301603383,39.0727881984,standard
93,93,5.37460607999,96.5029406377,39.194495521,standard
94,94,5.10626760908,96.5594476089,39.0749615434,standard
95,95,8.496414262,90.8425395872,36.0661231447,standard
96,96,9.17227599354,91.1759398023,36.753335833,standard
97,97,14.1383972454,91.4458352145,35.8075678758,standard
98,98,10.7800930258,90.5885203756,35.6057133238,?
99,99,8.54968714318,91.797379659,34.4149982698,standard
100,100,5.41843227878,90.0714098379,34.9547890943,standard
101,101,5.02857121446,92.2577894799,37.3974559765,standard
102,102,8.31919463844,92.870157222,35.2995294528,standard
103,103,19.4443403245,90.7631585836,34.9366448649,?
104,104,7.56535080374,92.5390250355,33.6869610654,standard
105,105,8.67948889989,94.2649948566,33.6279923199,standard
106,106,17.624167614,94.5711787277,36.0116904565,standard
107,107,8.97170925313,94.3920044624,38.1572455824,standard
108,108,8.98653311028,95.4330296239,37.1048802775,standard
109,109,11.4311145124,95.9115836742,36.8962216395,standard
110,110,8.52086021115,97.1794117031,36.258905582,standard
111,111,6.58084342576,97.6012650365,36.5877697398,standard
112,112,5.51164721557,95.7006570074,34.7257181982,standard
113,113,12.0698430012,96.0045728498,37.7852888798,?
114,114,6.24304490048,98.3996111298,35.8733407074,standard
115,115,7.55582546504,98.1818803771,36.1160197755,standard
116,116,5.73077487414,98.5493010223,36.7760161197,standard
117,117,5.92358105829,97.4946676888,35.8506604206,?
118,118,6.50778951205,97.4425030293,32.0358361905,standard
119,119,7.18083037788,96.9049802335,32.881810886,?
120,120,10.9615965814,95.6779767207,33.0995416387,standard
121,121,10.3432118091,95.7891101257,32.7207808501,standard
122,122,5.73347425652,96.0635415953,30.9675946849,standard
123,123,5.95944623632,95.6235440325,30.8224408498,standard
124,124,6.92527479442,94.5983950718,30.897285796,standard
125,125,10.3762010401,93.2920105554,30.9766667996,?
126,126,6.35438217272,92.3598507702,31.8249095238,standard
127,127,8.56888662841,92.0740791573,32.8455224272,standard
128,128,7.80277413804,90.488727114,32.8273781978,standard
129,129,6.61517683697,91.8223279744,31.3690357603,standard
130,130,5.38896432438,90.0101730637,27.5406033581,standard
131,131,5.84263605557,92.3916031717,30.4119276597,standard
132,132,6.47304628711,90.3639855369,28.2822487346,standard
133,133,5.19649873588,93.5346896235,28.6723496666,standard
134,134,5.52361409795,93.9996355017,29.0692546846,standard
135,135,6.19784009459,95.4761221687,29.2234806344,standard
136,136,6.0633689262,97.3381737103,30.1715166203,standard
137,137,12.6748676246,95.7006570074,25.417728519,standard
138,138,6.88169806237,95.9524081903,25.020823501,standard
