Lon,Lat,Diam_km
-177.9496497,-48.6039219,76.8884964
-124.5845211,-66.9596385,37.97230148
-107.7876844,18.74622605,63.85889816
-106.1816956,16.2395022,21.63459969
-109.3514128,20.40057514,51.84249878
-172.1704682,-10.06941485,53.83179855
-172.0550289,-11.80135413,104.9169998
-172.4999992,-11.80017664,38.79460144
-175.8268422,-12.32441874,46.79930115
-175.3973101,-11.56924849,33.73630142
-174.0563745,-9.883394134,42.79399872
-175.5,-8.7008275,95.90920258
-143.3791815,-41.30078142,39.78919983
-140.8028265,-40.30936652,22.6298008
-4.000000175,29.70224218,81.89830017
-145.2456152,10.44815671,66.91259766
-143.5328661,10.07487969,59.88380051
-144.2442704,7.990010722,29.73830032
1.500000951,30.70050205,38.79460144
-83.32113029,19.23722875,68.84770203
-82.25457635,20.36138698,61.85300064
-152.0583631,-53.27414309,54.86989975
-150.4328665,-28.15645713,67.82900238
-89.79999969,24.50079149,54.85179901
128.1000001,42.04012352,33.78910065
147.3283554,-14.07174008,26.7003994
-96.52113,21.9228617,85.86440277
-97.2908484,20.76066017,22.61000061
-99.05141281,21.94604554,51.83430099
-96.86655485,25.40011943,22.61459923
-164.7550294,-60.70273165,62.77339935
143.0668023,23.02796541,53.90069962
139.6887983,20.66471194,49.81790161
-105.2757061,25.14147186,85.92209625
-104.8908479,27.60012038,21.63129997
-104.2362718,29.42146043,32.7344017
-106.3059886,27.78512654,30.71980095
-167.6,-64.09929948,24.63549995
69.89999986,33.50211,73.88359833
-165.3174278,-55.52620527,63.52780151
-144.7509946,57.4648271,58.12220001
-145.3778368,56.34745646,36.89300156
-151.1946205,56.27742125,42.98870087
-153.4087128,57.30327673,26.76490021
-146.9523395,59.52001548,24.81979942
-147.8308773,31.40371754,53.90259933
-146.460409,31.21716528,33.77920151
-147.3745025,29.18786355,43.83919907
-150.0254976,29.84589819,52.88050079
-171.571813,-20.256794,44.80279922
-151.4315213,-37.62580998,27.67410088
-169.5067245,-53.9011809,90.48000336
-167.4301764,-49.63872143,27.62039948
-176.0234518,-53.13929757,37.63529968
-79.79084771,-41.70028002,24.67910004
-80.65141285,-42.7851735,25.66930008
-74.70598944,-42.03961724,20.60180092
-77.40000001,-40.60236929,68.87609863
-102.8331085,38.8889494,44.87820053
-104.7785326,39.74299766,29.7826004
-171.3342102,-73.51001678,55.33710098
-158.3691224,17.24425048,58.86660004
-69.17627515,26.48766298,36.77180099
-73.77627591,27.11284124,22.61330032
-70.91271253,28.16373047,24.67180061
-122.3271193,-33.52135442,25.64830017
-126.7574018,-38.91831718,28.64189911
-128.8028257,-42.20946161,25.68470001
-137.5088147,-39.07952071,37.81529999
-108.82113,12.0913825,39.82030106
-170.3469598,-61.30133688,79.39600372
-167.39731,-62.25755894,33.71490097
-170.2704679,-64.2872656,47.75109863
-174.89462,-63.45774566,48.70019913
-99.59999976,55.60263023,55.84909821
-72.51271239,13.26388313,48.82559967
-144.0214628,52.04433943,126.3059998
-139.1725434,52.15262076,34.89920044
113.2753796,-51.98510237,55.10969925
115.6160443,-52.82779077,27.80349922
-66.93983783,5.100166781,56.854599
-71.12712448,6.03822646,38.79330063
-68.4398378,8.600233994,51.84249878
-156.1174278,-38.46802538,24.63349915
-109.4574021,-40.10648301,32.72840118
-100.5788694,50.13100185,71.08650208
-96.79999869,51.31021152,38.83309937
-100.5788697,48.68295125,37.90299988
-104.2996629,50.90940116,20.6121006
-91.33344475,-61.29449642,58.77249908
-131.7816954,39.14076572,46.00429916
-140.8024883,3.472954635,44.81650162
137.2246207,-11.581002,80.88420105
138.1925322,-10.44837292,47.82049942
140.8604441,-11.3519426,26.69519997
141.1604435,-12.65194356,25.66860008
139.3,-13.90085555,76.8884964
135.8973754,-13.38045432,41.78839874
134.4,-12.30017403,37.78279877
-127.502825,-30.26993622,26.6970005
-134.687685,-37.73050098,23.6446991
-137.090848,-33.25504431,35.78549957
-133.9785329,-33.5153079,22.61260033
-162.924152,31.10577337,93.00319672
-163.6859063,28.76275654,55.94029999
-112.5725433,21.96498813,72.92030334
-115.5876845,23.05501856,42.81299973
-116.1876844,24.52449443,28.71439934
-121.6996628,24.69410403,20.60070038
-123.2753688,19.94871155,25.67860031
-167.9201176,-0.284568015,56.85449982
-165.806024,-1.270483007,36.76940155
-166.8496501,-3.740965684,29.72439957
-168.5523392,-3.639621248,30.71369934
-169.5999995,-1.72420125,58.85309982
-170.7563738,0.372436299,58.85860062
-153.0415805,-50.49023148,64.94950104
-114.9028252,54.46429524,89.16889954
-111.3299448,57.17385819,33.85070038
-112.0390975,52.99490044,34.80490112
-116.0574018,50.34326527,31.8234005
-117.7028257,50.28899032,37.86750031
-118.3422609,55.34363705,35.89310074
-147.7456151,-67.35185307,95.44409943
-150.7046791,-65.94843488,25.8451004
-165.0919303,-10.37071605,48.82649994
4.651866985,-63.73398949,40.77709961
-178.5986556,-8.215479734,23.65209961
-84.49683654,17.07035599,59.86740112
-177.1281875,28.04721495,53.90969849
-177.0000001,26.7005217,42.80569839
-178.6000005,24.90013117,23.64949989
-137.0876844,-26.49441071,37.80039978
-135.4876844,-26.82457157,31.74749947
-174.8536852,-37.77117915,86.74669647
-132.1542365,-66.26884593,39.05400085
-137.635934,-66.30164713,58.20399857
-162.9597085,-77.01233727,57.50260162
-102.5059893,-58.17396621,34.87379837
-177.6241528,-21.40153235,29.73679924
142.7123107,-16.27196621,43.82949829
143.6604435,-14.79904017,31.76670074
143.4887979,-18.73589142,20.59589958
141.2481333,-16.99235691,71.92199707
138.8567092,-15.88782597,29.73509979
139.9567096,-15.38778383,25.67320061
-152.1328663,10.55059615,46.8708992
129.7,-12.80018134,37.78279877
130.6000001,-12.20029523,48.83200073
129.6000003,-14.60013255,30.71759987
-108.566217,-68.95562203,68.11239624
-119.8845211,-71.21077137,31.81119919
-117.7602274,-68.77132794,33.76940155
-122.7028255,35.61330449,48.92029953
-121.2422606,36.27634886,27.79190063
-124.0574027,38.0973737,22.6616993
-156.2711122,-33.19827363,50.77870178
-159.0536849,-34.0117223,29.68989944
-158.7550296,-33.04002123,34.71509933
-121.623956,60.92566356,63.24720001
-114.3662172,59.27322292,20.66110039
-125.94226,59.38402054,89.46649933
-142.6979551,-63.24423023,53.71500015
-136.9757064,-62.07347938,24.77199936
-88.2,16.7004451,50.83570099
-120.4331083,-25.48228775,46.79259872
-107.9996628,54.94960682,35.84379959
-110.0693798,52.58874394,31.81410027
-171.2268422,63.92343407,47.23410034
-177,60.82139229,24.86639977
-159.5073691,5.43232532,42.81560135
-159.6523395,4.259095648,27.71850014
-11.3,14.5005004,57.85210037
-141.6536845,47.37985293,79.13860321
-133.7725434,-9.500436053,66.87409973
-136.4,-11.20219336,136.9299927
-153.0845615,34.58958475,49.89210129
-150.6268422,33.73175529,47.87149811
-153.7281865,31.58748212,26.70910072
-156.7140936,37.76277886,47.93429947
-158.5536847,35.53581267,73.05290222
-161.3691226,34.62117528,30.80730057
104.9593348,41.98089699,36.74670029
125.0764878,-58.34600452,63.46549988
-126.075707,18.17461523,151.1660004
-177.7308766,-42.2563998,71.73789978
-175.8140936,-40.7271336,25.64179993
142.3999996,8.000066981,29.72680092
-170.7449706,28.98744055,25.68020058
-173.8,28.50350211,50.88349915
-172.9114037,30.84534648,33.77370071
-128.9390976,-56.05491875,21.64410019
-124.575707,-58.9908256,54.01250076
-136.6028257,-59.63414855,27.78499985
-140.5,21.00021034,31.73690033
-143.5000002,20.20026124,35.77600098
-145.0563743,42.45239622,145.7689972
-145,46.09021436,51.94229889
-142.1254973,44.76095707,31.80310059
-146.5228064,39.83293396,38.87070084
-126.9236184,-12.49537747,101.9349976
-124.9542388,-10.5455564,35.77349854
-118.8996618,37.46027277,75.00879669
-119.5028258,34.77360713,42.86489868
-147.3000003,36.40180457,64.87190247
-146.3791818,38.30447221,31.80209923
144.7887978,-19.33592212,23.6541996
-152.4295324,-13.4930479,53.90420151
-150.471813,-11.92086882,21.65080071
-151.8872513,-15.09169756,50.88529968
-154.6859066,-12.80553631,34.78969955
-84.6,49.60439157,79.89299774
-39.79626628,-15.56434076,32.74879837
-40.6,-14.70008918,25.66620064
72.1,39.70036421,28.70569992
73.86417678,39.33231999,23.64410019
131.1727541,17.41669483,59.86000061
132.1887983,19.87287497,25.64430046
132.7887983,14.96812517,37.78570175
-123.5387594,-22.99267595,85.87200165
-122.0996624,-22.39098713,25.65780067
-126.2936731,-24.1916246,54.83229828
-77.65085025,8.133189896,42.82020187
-108.457402,-3.866597295,34.75880051
-130.1570645,12.53677154,35.80160141
-131.5845211,10.56733983,31.78170013
-147.9637433,-46.88932642,57.9131012
-148.4469598,-49.03045356,37.80960083
